epsilon,LDP,PNDP,PNDP_strict_min,PNDP_strict_max
1,4.9356,3.5051,4.6728,4.9356
2,2.6377,1.8732,2.4973,2.6377
3,1.8396,1.3064,1.7417,1.8396
4,1.4303,1.0157,1.3541,1.4303
5,1.1798,0.8379,1.1170,1.1798
6,1.0102,0.7174,0.9564,1.0102
7,0.8873,0.6302,0.8401,0.8873
8,0.7940,0.5639,0.7518,0.7940
9,0.7206,0.5118,0.6823,0.7206
10,0.6613,0.4696,0.6261,0.6613
