round,mean_acc,max_acc,min_acc,consensus_gap,avg_loss
1,45.3653,58.9300,37.0900,21.8400,2.1820
2,61.5273,64.8700,58.1000,6.7700,2.0203
3,67.8773,70.2800,63.9900,6.2900,1.7865
4,70.3787,72.4100,68.2400,4.1700,1.4422
5,72.2973,74.7600,69.9700,4.7900,1.1672
6,72.7447,74.5600,70.6600,3.9000,0.9179
7,74.7107,76.4200,72.3200,4.1000,0.7936
8,77.2193,80.0300,75.9500,4.0800,0.7092
9,78.5813,80.4800,76.9500,3.5300,0.5663
10,79.9107,80.8700,78.0400,2.8300,0.6509
11,81.4933,83.3300,80.1000,3.2300,0.5834
12,82.6827,83.1100,81.7300,1.3800,0.4993
13,83.9793,84.8100,83.1700,1.6400,0.5523
14,84.9313,85.5300,84.0900,1.4400,0.5102
15,85.6753,86.2100,84.8700,1.3400,0.4911
16,86.1720,86.6400,85.3700,1.2700,0.4365
17,86.9533,87.2400,86.3400,0.9000,0.4134
18,87.3267,87.6300,86.4400,1.1900,0.4757
19,87.6833,88.1900,86.7800,1.4100,0.4761
20,87.9773,88.4400,87.5300,0.9100,0.5195
