round,mean_acc,max_acc,min_acc,consensus_gap,avg_loss
1,50.7680,64.0300,44.3300,19.7000,2.1285
2,67.1387,70.4600,63.8300,6.6300,1.8468
3,70.1033,72.0200,67.3500,4.6700,1.4445
4,72.4320,74.4900,70.7800,3.7100,1.0215
5,74.9213,77.2900,73.2600,4.0300,0.8062
6,77.8093,80.0300,75.7700,4.2600,0.6269
7,79.5227,81.4200,76.4500,4.9700,0.5865
8,81.8500,83.4500,81.2500,2.2000,0.5640
9,83.3300,84.5000,82.2000,2.3000,0.4255
10,84.6267,85.0300,83.9200,1.1100,0.5465
11,85.8973,86.4700,85.3400,1.1300,0.5065
12,86.6820,87.0400,86.1800,0.8600,0.4126
13,87.4740,87.9800,86.8500,1.1300,0.4958
14,87.8727,88.1900,87.4100,0.7800,0.4590
15,88.2633,88.4900,87.8400,0.6500,0.4333
16,88.6073,89.1600,88.1300,1.0300,0.4124
17,89.0153,89.2000,88.5500,0.6500,0.3938
18,89.1107,89.3000,88.5300,0.7700,0.4655
19,89.2920,89.7500,88.7600,0.9900,0.4617
20,89.5193,89.7500,89.2800,0.4700,0.5087
